"description","neighborhood_overview","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_neighbourhood","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","neighbourhood_group_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","amenities","price","minimum_nights","maximum_nights","has_availability","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","reviews_per_month"
"Come stay with us in the heart of Beechwood Village. 5 min. taxi to Byward Market and downtown shops and restaurants. 15 min to the canal and universities. <br /><br />Dog friendly. 3 min. walk to optimiste park, bus stop and 5 min walk to charming beecwhood village cafes,  restaurants, grocery stores, butcher shop and more. <br /><br />25 min. to Gatineau park cross country ski trails, downhill ski and snowboarding  and Spa Nordic. Spartan student furnishing. Access to side yard and garden.<br /><br />No wifi - we use cells<br /><br /><b>The space</b><br />Basically like a private but we use the unit for storage so require access at times, and sometimes the bathroom.<br /><br /><b>Guest access</b><br />Side yard for children and approved dogs (must be over 2 years old, house broken, non barking and child / people friendly)<br /><br />Your private bedroom and closet. <br /><br />Bathroom is shared. <br />Kitchen is shared - no dishwasher.<br /><br /><b>Other things to note</b><br />Ver","3 min walk to heart of Beechwood Village and its charming amenities. <br /><br />5 min drive to National Art Centre, Parliament, canal and rivers.<br /><br />15-20 min drive to Quebec’s beautiful Gatineau parks, lakes, trail network and ski hills.","N/A","N/A","0%","f","",1,1,"t","f","Rideau-Vanier",NA,45.44238,-75.66747,"Private room in apartment","Private room",1,NA,1,1,"[""Coffee maker"", ""Microwave"", ""Baby monitor"", ""BBQ grill"", ""Children\u2019s books and toys"", ""Pack \u2019n Play/travel crib"", ""Garden or backyard"", ""Free street parking"", ""Refrigerator"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Essentials"", ""Children\u2019s dinnerware"", ""Patio or balcony"", ""Baking sheet"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Babysitter recommendations"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Luggage dropoff allowed"", ""Changing table""]","$100.00",2,1125,"t",1,1,0,"2020-03-31","2020-03-31",80,10,8,10,10,10,10,"f",1,0,1,0.09
"Sophistication & elegance are the best words to describe this highly upgraded and impeccably maintained 4bed luxury home, This home is sure to impress.The grand foyer features high end porcelain tiles which lead you to the rest of this magnificent home featuring hardwood floors on both main & 2nd floor, & dramatic 8ft doors.Large principal rooms, a chef's dream kitchen , Italian tile & maple cabinets & terrace doors leading to the spacious yard.<br /><br /><b>The space</b><br />This is a rare find property for a big group of people or a big family and close to all amenities.<br />There is 1 kitchen, 1 sitting area, a dining room, a family room, Laundry room, Home office and a powder room on the main floor.<br /><br />Available for your use are 4 spacious bedrooms (2 upstairs,  2 in the basement). All 4 bedrooms have<br />4 Queen Beds. There is a $20 /night for each guest after 12.<br /><br />The recently finished basement ('19) has 2 bedrooms & a gorgeous bath walk-in shower!<br /><br ","","within an hour","67%","69%","f","",0,0,"t","t","Cumberland",NA,45.44711,-75.46192,"Entire house","Entire home/apt",8,NA,4,4,"[""Coffee maker"", ""Cable TV"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Shower gel"", ""Garden or backyard"", ""Bread maker"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hangers"", ""Smoke alarm"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Bathtub"", ""Air conditioning"", ""Kitchen"", ""Dedicated workspace"", ""TV"", ""Indoor fireplace"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher""]","$350.00",1,1125,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"f",3,2,1,NA
"Huge 1-bedroom apartment (entire apartment) with balcony in fully renovated high-rise. All new kitchen and appliances including dishwasher, coffee maker, microwave, and toaster. Building has a fully equipped new gym, laundry facilities, and soda vending machine. 15-minute walk to Byward Market and 10-minute to University of Ottawa. West-facing with perfect view of downtown and the Peace Tower at Parliament Hill. Ideal for fireworks viewing. Paid secure underground parking available.<br /><br /><b>The space</b><br />Large West facing balcony ideal for morning coffee before work or beautiful evening dinner.<br />The single bed is a very comfortable fold out cot. The large couch in the living room also makes for a wonderful cloud to easily fall asleep on.<br /><br /><b>Guest access</b><br />Entire apartment/balcony - private, no sharing with other guests or the host. Gym, laundry facilites, and rooftop patio are shared in the building.<br /><br /><b>Other things to note</b><br />Secure bu","Balcony overlooks a stunning well lit park with mature trees, benches and a gazebo. Safe neighbourhood with embassies on either side of the building.","N/A","N/A","100%","f","",0,0,"t","f","Rideau-Vanier",NA,45.43658,-75.6758,"Entire apartment","Entire home/apt",4,NA,1,2,"[""Gym"", ""Coffee maker"", ""Hair dryer"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Shower gel"", ""Garden or backyard"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Paid parking on premises"", ""Washer"", ""Dryer"", ""Private entrance"", ""Bathtub"", ""Patio or balcony"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Heating"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher""]","$95.00",1,15,"t",3,2,0,"2020-01-05","2020-02-17",80,8,8,9,10,9,9,"f",1,1,0,0.22
"Bright and cozy private room on the second floor of a charming Victorian house. The perfect budget accommodation that is highly rated by previous guests. <br /><br />Free street parking on weekends and overnight (limited during the week). <br /><br />Located right in the heart of Centretown on a quiet residential street. Close to Parliament Hill, China Town, Little Italy, and Lansdowne.<br /><br />Just a few minutes from the bus stop. <br /><br />Click out my profile to see more rooms for rent!<br /><br /><b>The space</b><br />This private room with a lock has everything that's needed for a comfortable stay in the heart of Ottawa. The kitchen, living room & bathroom are shared spaces. The room is in a bright and spacious apartment that has been newly renovated.<br /><br />Hosts up to 2 guests. We have a comfortable inflatable bed we can provide for the 2nd person.<br /><br />This apartment is very close to countless restaurants, coffee shops, and Parliament Hill.<br /><br /><b>Guest ac","Steps away to Parliament Hill, Little Italy, Chinatown, Glebe and Landsdowne. <br /><br />We provide each room with a brochure that features some of the best local recommendations for restaurants, coffee shops, landmarks, sports, and entertainment.","N/A","N/A","93%","t","",0,0,"t","t","Somerset",NA,45.40653,-75.70076,"Private room in house","Private room",2,NA,1,1,"[""Coffee maker"", ""Wifi"", ""Bed linens"", ""Free street parking"", ""Refrigerator"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Essentials"", ""Private entrance"", ""Patio or balcony"", ""Kitchen"", ""Carbon monoxide alarm"", ""Private living room"", ""Heating"", ""Lockbox"", ""Dishes and silverware"", ""Stove"", ""Oven""]","$39.00",1,6,"t",23,11,0,"2020-01-04","2020-03-30",97,10,10,10,10,10,10,"f",3,0,3,1.7
"COMFORTABLE ACCOMMODATION TO SUIT YOUR NEEDS Whether you are in town for a few nights or a few weeks,  Located close to AC college, Grocery stores are 3 min drive ( near by supermarket ) Public Transit. My place is good for student , solo adventurers, business travelers. Free unlimited Wi-Fi, free street parking.like quite place to stay.<br />(no party & drinking in our house 🏡)","","within a few hours","80%","100%","f","",4,4,"t","t","Knoxdale-Merivale",NA,45.35344,-75.7258,"Private room in townhouse","Private room",2,NA,1,1,"[""Essentials"", ""Coffee maker"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Wifi"", ""Host greets you"", ""Heating"", ""Iron"", ""Free parking on premises"", ""Shampoo"", ""Long term stays allowed"", ""Hot water"", ""Lockbox"", ""Lock on bedroom door"", ""Air conditioning"", ""Fire extinguisher"", ""Dedicated workspace""]","$40.00",1,1125,"t",2,2,0,"2020-08-22","2020-09-03",100,10,9,9,10,10,10,"t",2,0,2,0.34
"I live alone in a very large house, other than other occasional guests. This is a newer detached home. Place is well maintained. You will have you own private very large room, three large west side facing windows, a sun filled retreat in the evenings, large 55 inches TV, high speed Wi-Fi  internet. Full bathroom and usually not shared. Super clean room. Full sized bed and additional. Super nice and quiet area with no houses at the back. Your bedroom is located in separate area from other rooms.<br /><br /><b>The space</b><br />Spacious brick detached house in a very friendly upcoming new area. A 4 bedroom house with large bedrooms. Many smart features include google home and Alexa, smart switches, locks, outdoor camera, thermostat. Rooms be equipped with digital locks for safe keeping your valuables<br /><br /><b>Guest access</b><br />Kitchen areas to prepare coffee, Tea, Microwave, Dinning room, Backyard, Front Yard, Breakfast area, breakfast bar, use of Fridge<br />Very Light cooking","Very close to shopping center, fitness center, Movie Theatre, galore of restaurants and coffee shops","within a day","50%","95%","f","",1,1,"t","f","Rideau-Goulbourn",NA,45.23736,-75.73396,"Private room in house","Private room",1,NA,1,1,"[""Hair dryer"", ""Wifi"", ""Bed linens"", ""Extra pillows and blankets"", ""Shower gel"", ""Ethernet connection"", ""Garden or backyard"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Lock on bedroom door"", ""Essentials"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Cleaning before checkout"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Luggage dropoff allowed""]","$48.00",3,100,"t",8,8,0,"2020-02-17","2020-09-07",95,10,10,10,10,9,10,"t",2,0,2,0.66
"For your best confort! Private and clean guest bedroom with private bathroom. The house is located close to Petrie Island, Tenh Line road and Jeanne d'Arc boulv in Orléans (Ottawa), Ontario and it’s at 2 minutes to the highway. Parking is available. You will have access to the kichen of the house.<br /><br /><b>The space</b><br />- Remove your shoes at the entrance before getting into the house.<br />- Keep the enviromment quiet after 10 pm.<br />- Close lights that are not using.<br />- Laundry room is available only between 5pm - 9pm<br />- Always lock the entrance door while leaving the house.","Safe and quiet area. Nice and friendly neighour","N/A","N/A","100%","f","",0,0,"t","f","Orleans",NA,45.48855,-75.50055,"Private room in house","Private room",1,NA,1,1,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Free street parking"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hangers"", ""Smoke alarm"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Essentials"", ""Host greets you"", ""Washer"", ""Dryer"", ""Air conditioning"", ""Kitchen"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo""]","$60.00",1,1125,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"t",1,0,1,NA
"","","N/A","N/A","N/A","f","",1,1,"t","t","Rideau-Vanier",NA,45.42858,-75.69289,"Private room in condominium","Private room",2,NA,1,0,"[""Gym"", ""Hair dryer"", ""Wifi"", ""Elevator"", ""Iron"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Indoor fireplace"", ""Heating"", ""Shampoo""]","$89.00",1,3,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"f",1,0,1,NA
"Large master bedroom on the second floor of a charming Victorian house. The perfect budget accommodation that is highly rated by previous guests. <br /><br />Free street parking on weekends and overnight (limited during the week). <br /><br />Located right in the heart of Centretown on a quiet residential street. Close to Parliament Hill, China Town, Little Italy, and Lansdowne. Just a few minutes from the bus stop. <br /><br />Click out my profile to see more rooms for rent!<br /><br /><b>The space</b><br />This private room with a lock has everything that's needed for a comfortable stay in the heart of Ottawa. <br /><br />Hosts up to 3 guests. We have a comfortable inflatable bed we can provide for the 3rd person.<br /><br />The kitchen, living room & bathroom are shared spaces. <br /><br />The room is in a bright and spacious apartment that has been newly renovated.<br /><br /><b>Guest access</b><br />The house is super easy to find, just follow the address and let yourself in via l","Walking distance to Parliament Hill, Little Italy, Chinatown, Glebe and Landsdowne. <br /><br />We provide each room with a brochure that features some of the best local recommendations for restaurants, coffee shops, landmarks, sports, and entertainment.","N/A","N/A","93%","t","",0,0,"t","t","Somerset",NA,45.40653,-75.70076,"Private room in house","Private room",3,NA,1,2,"[""Coffee maker"", ""Wifi"", ""Bed linens"", ""Garden or backyard"", ""Free street parking"", ""Refrigerator"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Essentials"", ""Private entrance"", ""Bathtub"", ""Baking sheet"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Heating"", ""Lockbox"", ""Dishes and silverware"", ""Stove"", ""Oven""]","$39.00",1,6,"t",17,8,0,"2020-01-16","2020-03-27",99,10,10,10,10,10,10,"f",3,0,3,1.29
"Only steps away from numerous dining and shopping options. The apartment features large windows that will illuminate your room with natural lighting, only adding to the spacious aesthetic of it.   <br /><br />The building features its very own steam room and swimming pool, a fully-equipped fitness center to help you maintain that exercise routine.<br /><br />9 apartments with similar layout, subject to availability, photos for reference.<br /><br /><b>The space</b><br />- IPTV Box with more than 300 channels on request with a fee ($)<br />- Parking  up to availability with a fee ($)<br />- 1 Pet accepted with a fee ($)","","within a few hours","94%","88%","f","Downtown Montreal",272,272,"t","t","Rideau-Vanier",NA,45.42383,-75.68607,"Entire apartment","Entire home/apt",4,NA,2,2,"[""Gym"", ""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Refrigerator"", ""Iron"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Essentials"", ""Washer"", ""Dryer"", ""Air conditioning"", ""Kitchen"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Pool"", ""Dishes and silverware""]","$100.00",30,180,"t",1,1,0,"2020-07-24","2020-07-24",40,2,8,10,2,10,6,"f",69,69,0,0.15
